arxiv_id,version,title,authors,abstract,published,updated,arxiv_url,pdf_url,arxiv_primary_category,arxiv_categories,comment,journal_ref,doi,code_url,project_url,primary_category,category_score,relevance_score,ai_tags,manufacturing_tags,research_tags,matched_keywords,matched_query_families,first_seen,last_seen
2608.25928,v1,AI Agentic Selective Laser Sintering Process Optimization,Peter Pak | Victor Alvarado | Amir Barati Farimani,"Agentic systems enable the intelligent automation of complex workflows, specific to additive manufacturing this is applicable for complex tasks such as process parameter optimization for mechanical properties. This work investigates the AI enabled agentic process optimization within Selective Laser Sintering (SLS) to iteratively improve the tensile and flexural properties of 3 different materials on the Inova Mk1. These materials include PA12 GF, PA11 Onyx, and PA12 Blend (volume mixture of 25% PA12 GF and 75% PA12 White) and with using knowledge from previous builds and minimal guidance from the user, the agentic system was able to optimize process parameters over a small number of iterations to achieve comparable TDS specified mechanical properties. This work showcases the ability for an agentic system to continually learn from updated data, enabling the intelligent automation of complex tasks such as process parameter optimization for selective laser sintering.",2026-08-26T15:39:41Z,2026-08-26T15:39:41Z,https://arxiv.org/abs/2608.25928v1,https://arxiv.org/pdf/2608.25928v1,cs.MA,cs.MA,,,,,,process_optimization_control,9,16,agentic-AI,manufacturing | additive-manufacturing | process-optimization,optimization,additive manufacturing | agentic system | agentic systems | manufacturing | parameter optimization | process optimization,general_manufacturing_agents | multi_agent_manufacturing | process_optimization,2026-08-29T13:44:04Z,2026-08-29T13:44:04Z
2608.24039,v1,Design-to-Plan: A Large Language Model-Based Multi-Agent Framework for Manufacturing Process Planning from 3D CAD Models and 2D Engineering Drawings,Muhammad Tayyab Khan | Lequn Chen | Wenhe Feng | Seung Ki Moon,"Manufacturing process planning transforms heterogeneous design information into coherent manufacturing decisions. However, existing approaches focus on isolated subtasks, such as feature recognition, drawing interpretation, or tool selection, and struggle to support the full reasoning chain from design artifacts to process plans. This is critical when planning must interpret 3D CAD models, 2D engineering drawings, materials, and domain-specific rules. To address this gap, this paper presents Design-to-Plan, a large language model (LLM)-based multi-agent framework for end-to-end manufacturing process planning. An orchestrator coordinates specialized agents for 3D feature recognition, 2D drawing analysis, 2D-3D context fusion, knowledge retrieval, process sequencing, tool selection, and report generation. Rather than using LLMs as standalone text generators, the framework deploys them as reasoning agents that interact with deterministic modules and knowledge sources to produce consistent and traceable decisions. In this hybrid design, deterministic modules and specialized agents extract structured information from CAD and drawing inputs, while LLM agents perform context-aware reasoning, retrieve manufacturing rules, resolve conflicts, and generate planning outputs. The framework is evaluated using 300 benchmark cases across three downstream ReAct-enabled agents, plus separate evaluations of CAD feature recognition, drawing analysis, and 2D-3D context fusion. The parallel architecture achieves 100% success across downstream agents, Tool F1 scores of 95.9%-97.6%, 90% source detection accuracy in conflict analysis, and a 60%-68% reduction in token usage for key planning tasks. Results show that structured LLM-based multi-agent coordination can bridge design representations and manufacturing knowledge, enabling scalable, efficient, and traceable design-to-plan automation.",2026-08-25T03:57:38Z,2026-08-25T03:57:38Z,https://arxiv.org/abs/2608.24039v1,https://arxiv.org/pdf/2608.24039v1,cs.RO,cs.RO | cs.AI,Submitted to Elsevier Journal,,,,,process_planning,7,21,LLM | multi-agent | ReAct,manufacturing | CAD,planning,agent | agents | CAD | large language model | LLM | LLM agents | LLMs | manufacturing | multi agent | multi-agent | planning | process planning | reasoning,general_agentic_manufacturing | general_manufacturing_agents | manufacturing_reasoning | multi_agent_manufacturing | production_planning,2026-08-26T08:50:48Z,2026-08-29T13:44:04Z
2608.22606,v1,Adversarial Agents on Topology Optimization: Understanding the Fragility and Robustness of Deep Learning-based and Physics-Based Design Models under Adversarial Perturbation,Hoang Anh Nguyen | Yuan Hong | Hongyi Xu,"Topology optimization, using both physic-based approaches and deep learning surrogates, serves as a cornerstone for generative design agents in cyber-manufacturing systems. While deep learning surrogates have gained widespread adoption due to their speed in online design generation, this work demonstrates their vulnerability under input perturbations. In this work, we present a mechanics-grounded reliability evaluation framework that formulates an adversarial agent targeting the generative design models. We investigate a strictly non-intrusive threat model where bounded perturbations are introduced exclusively to the initial-density channel, while physical boundary conditions, compliance-gradient channels, network architectures, and solver routines remain intact. Evaluating surrogate models across U-Net, convolutional, and generative architectures with varying physics-gradient conditioning depths demonstrates that bounded initialization noise can cause catastrophic mechanical failure, increasing compliance by multiple orders of magnitude through severed load paths and disconnected supports. Furthermore, we discover that incorporating richer physics-gradient conditioning in the deep learning surrogates does not guarantee monotonic robustness across surrogate families. Finally, physics-in-the-loop recovery demonstrates that initializing the classical SIMP optimizer with perturbed topologies mitigates design performance degradation, having a high probability of restoring compliance to near-baseline levels across tested instances. These findings demonstrate that learned surrogates should serve as physics-verified initializers instead of replacing physics-based solvers entirely in a resilient cyber-manufacturing system. Moreover, the proposed adversarial agent provides a foundation for future training generative design agents robust against noise and targeted perturbations.",2026-08-23T21:23:32Z,2026-08-23T21:23:32Z,https://arxiv.org/abs/2608.22606v1,https://arxiv.org/pdf/2608.22606v1,cs.LG,cs.LG,,,,,,production_planning_scheduling,0,9,,manufacturing,optimization,agent | agents | manufacturing,general_manufacturing_agents,2026-08-26T08:50:48Z,2026-08-29T13:44:04Z
2608.22128,v1,Task-Driven 3D Printability Assistance via Geometry- and Knowledge-Grounded LLM Reasoning,Zhaoda Du | Qiaojie Zheng | Xiaoli Zhang,"Printability assessment in additive manufacturing is typically conducted at the geometry level before printing to determine whether a computer-aided design (CAD) model or stereolithography (STL) file can be successfully fabricated. Task suitability, in contrast, is usually evaluated after printing to determine whether the fabricated part satisfies the requirements of its intended use. As a result, for non-expert users to print functional parts, unsuitable material or process choices may only be identified after fabrication, leading to repeated printing, material waste, and user frustration. To address this challenge, this paper leverages the reasoning and language-understanding capabilities of large language models (LLMs), while grounding the reasoning with geometry evidence and structured material/printer knowledge to generate reliable pre-print recommendations. Given a stereolithography (STL) model and a natural-language task description, the framework generates a structured recommendation covering printability, material choice, process parameters, design guidance, risks, and explanations. We evaluate the framework on focused STL benchmark scenarios with novice-style task descriptions. The proposed method achieves 75.0% printability over 96 physical validation trials, with 88.9% task suitability among successfully printed samples. It also improves Gemini 2.5 Flash-Lite material-selection accuracy from 37.5% under pure LLM to 90.0%. Expert evaluation further shows improved report quality, while post-print feedback improves recommendations on selected problematic cases. These results suggest that user task intent, geometry evidence, and structured material knowledge are all important for reliable task-driven printability assistance.",2026-08-22T22:56:29Z,2026-08-22T22:56:29Z,https://arxiv.org/abs/2608.22128v1,https://arxiv.org/pdf/2608.22128v1,cs.AI,cs.AI,,,,,,design_manufacturing_engineering,2,16,LLM,manufacturing | additive-manufacturing | CAD,,additive manufacturing | CAD | large language models | LLM | LLMs | manufacturing | reasoning,manufacturing_reasoning,2026-08-26T08:50:48Z,2026-08-29T13:44:04Z
2608.23622,v1,LLM Agents Perform Controlled Experiments Using Simulation Models,Yuchen Xia | Michael Weyrich | Nasser Jazdi | Johannes Stümpfle | Johannes Sigel | Akshay Narla | Gavin K. Reynolds | Anna Jawor-Baczynska | Pol Llopart,"Large language models (LLMs) have shown strong capabilities in reasoning, planning, and tool use, but many scientific and engineering tasks require more than plausible text and code generation. They require understanding how a system responds to intervention, which in practice depends on controlled experimentation. In this work, we propose a multi-agent framework that enables LLM agents to conduct controlled experiments with scientific simulation models for pharmaceutical process design. Given a user query and a baseline configuration, the system constructs a structured task representation, designs experiments, executes comparative simulation, interprets the resulting outcomes, and synthesizes evidence-based recommendations for process parameter optimization. By coupling language models with high-fidelity simulation models in an interactive agent framework, the proposed system supports reasoning through intervention, comparison, and observation. As a result, it produces more specific and actionable outputs than language-only reasoning. In an industrial application setting, this advantage is reflected in higher output specificity as well as improved user-rated correctness and helpfulness. Ablation studies and visualized case analyses further demonstrate the effectiveness and practical utility of simulation-integrated experimental reasoning.",2026-08-22T18:54:52Z,2026-08-22T18:54:52Z,https://arxiv.org/abs/2608.23622v1,https://arxiv.org/pdf/2608.23622v1,cs.AI,cs.AI | cs.CL | cs.MA | cs.SE,Accepted at the 31st IEEE International Conference on Emerging Technologies and Factory Automation ETFA 2026,,,,,process_optimization_control,2,15,LLM | multi-agent | tool-use | simulation,process-optimization,optimization | planning,factory automation | large language models | LLM | LLM agents | LLMs | multi agent | multi-agent | parameter optimization | planning | reasoning | tool use,manufacturing_reasoning | multi_agent_manufacturing | process_optimization,2026-08-26T08:50:48Z,2026-08-29T13:44:04Z
2605.21622,v2,TO-Agents: A Multi-Agent AI Framework for Subjective Preference-Guided Topology Optimization,Isabella A. Stewart | Hongrui Chen | Faez Ahmed,"Topology optimization can generate efficient structures, but designers often must manually translate qualitative intent, such as desired visual style, product experience, or manufacturability into solver settings that are not directly tied to those preferences. We present TO-Agents, a multi-agent AI framework that connects natural-language design intent with iterative topology optimization. The framework converts a human-provided problem description into validated solver inputs, runs a topology optimization solver, renders the resulting 3D topology, and uses multiview vision-language reasoning with an independent judge agent to critique each result and revise solver parameters. We evaluate the framework on two long-horizon design tasks: a cantilever beam benchmark and a phone-stand product design. In both tasks, the designer specifies an aesthetic preference for hierarchically branched structures inspired by natural tree morphologies, and the system performs four revision cycles across ten independent replicates. TO-Agents produces at least one preference-aligned design in 60\% of trials for each case study, corresponding to up to $6 \times$ more successful trials than an ablated pipeline without visual or historical feedback. Judge scores and human evaluations show that the pipeline can identify effective parameter levers, recover from poor revisions, and expand design exploration. A manufacturing agent further post-processes top-ranked designs for additive manufacturing, enabling end-to-end intent-to-prototype design. We also identify failure modes, including overshooting, selective memory, misplaced tools, and incorrect parameter reasoning. These results suggest that agentic topology optimization can shift designers from low-level parameter tuning toward higher-level specification of form and function, while highlighting safeguards needed for reliable autonomous engineering design.",2026-05-20T18:32:56Z,2026-08-22T18:16:31Z,https://arxiv.org/abs/2605.21622v2,https://arxiv.org/pdf/2605.21622v2,cs.AI,cs.AI,Accepted for publication in the Proceedings of the ASME 2026 International Design Engineering Technical Conferences (IDETC2026),,,,,agentic_frameworks,2,14,multi-agent,manufacturing | additive-manufacturing,optimization,additive manufacturing | agent | agents | manufacturing | manufacturing agent | multi agent | multi-agent,general_agentic_manufacturing | general_manufacturing_agents | multi_agent_manufacturing,2026-08-26T08:50:48Z,2026-08-29T13:44:04Z
2604.16804,v4,AutoOR: Scalably Post-training LLMs to Autoformulate Operations Research Problems,Sumeet Ramesh Motwani | Chuan Du | Aleksander Petrov | Christopher Davis | Philip Torr | Antonio Papania-Davis | Weishi Yan,"Optimization problems are central to decision-making in manufacturing, logistics, scheduling, and other industrial settings. Translating complicated descriptions of these problems into solver-ready formulations requires specialized operations research (OR) expertise, making it hard to scale. We present AutoOR, a scalable synthetic data generation and reinforcement learning pipeline that trains LLMs to autoformulate optimization problems specified in natural language across linear, mixed-integer, and non-linear categories. AutoOR generates verified training data from standard optimization forms and uses solver execution feedback as the reward signal for RL post-training. AutoOR applied to an 8B model achieves state-of-the-art or competitive results across six established OR benchmarks, matching significantly larger frontier models. For a non-linear problem class involving physical dynamics, where frontier models score near 0%, we introduce a curriculum RL strategy that bootstraps from limited initial training data to make this class tractable for post-training. We believe that methods such as AutoOR can significantly accelerate industrial decision-making with AI.",2026-04-18T03:24:54Z,2026-08-20T18:53:16Z,https://arxiv.org/abs/2604.16804v4,https://arxiv.org/pdf/2604.16804v4,cs.LG,cs.LG | cs.AI,,,,,,production_planning_scheduling,0,9,reinforcement-learning,manufacturing,optimization,decision making | decision-making | LLMs | manufacturing,manufacturing_reasoning,2026-08-23T08:35:59Z,2026-08-26T08:50:48Z
2607.06008,v3,PolyWorkBench: Benchmarking LLM Agents for Cross-Lingual Long-Horizon Workflows,Hongliang Li | Yijin Liu | Zhiwei Zhang | Zihe Liu | Xinyue Lou | Jinan Xu | Fandong Meng | Kaiyu Huang,"While Large Language Model (LLM) agents excel at monolingual long-horizon planning and tool use, enterprise workflows inherently require processing multilingual resources across extended trajectories. The interaction between multilinguality and long-horizon execution, however, remains underexplored. We introduce PolyWorkBench, a benchmark designed to evaluate LLM agents on multilingual, long-horizon workplace workflows. PolyWorkBench features 67 tasks across five core domains: commerce, knowledge work, legal analysis, localization, and manufacturing. Tasks are authored by the paper's authors from real-world data seeds and independently verified through a second-author audit. Agents must integrate heterogeneous multilingual inputs, execute iterative tool-use trajectories, and produce structured domain artifacts. To rigorously assess performance, we adopt Grade, a task-specific structural scoring rubric, as our primary ranking metric, and complement it with Pytest for executable state verification and LLM-as-Judge for semantic quality diagnostics. Benchmark evaluations reveal that agent performance varies substantially across languages and drops sharply on the harder cross-lingual tasks, and our analysis shows that multilingual execution exposes systematic failure modes across planning, tool interaction, and decision-making in long-horizon agents.",2026-07-07T08:50:09Z,2026-08-17T05:33:41Z,https://arxiv.org/abs/2607.06008v3,https://arxiv.org/pdf/2607.06008v3,cs.AI,cs.AI | cs.CL,"17 Pages, 5 figures",,,,,production_planning_scheduling,0,14,LLM | tool-use,manufacturing,planning,agent | agents | decision making | decision-making | large language model | LLM | LLM agents | manufacturing | planning | tool use | tool-use,general_agentic_manufacturing | general_manufacturing_agents | manufacturing_reasoning,2026-08-19T08:42:48Z,2026-08-23T08:35:59Z
2606.20753,v2,Empowering Polymeric Materials Discovery by Artificial Intelligence,Chenyao Ma | Linda Zhang | Yuheng Chen | Wei Du | Shangwen Fang | Zihao Jiang | Chuanyu Liu | Xinyu Ma | Rui Su | Gang Wang | Muyao Yu | Dong Zhong | Jie Zhu | Weibo Gong | Huan Gu | Limin Li | Chen Shen | Rui Wu | Zhenghao Wu | Kan Xu | Min Zhou | Donglin He | Xiayun Huang | Shan Jiang | Pengfei Ou | Jiayu Peng | Yuwei Zhang | Jie Zhao | Di Zhang | Piao Ma | Zhenghao Li | Hao Li,"Polymeric materials underpin modern technologies spanning energy storage, microelectronics, healthcare and sustainable manufacturing. Yet their rational design remains exceptionally challenging because material performance emerges from complex interactions among molecular composition, chain architecture, processing history and hierarchical structural evolution across multiple length and time scales. Consequently, polymer research has long relied on labor-intensive experimentation and fragmented modeling approaches, limiting both mechanistic understanding and innovation efficiency. Recent advances in data infrastructure, machine learning, large artificial intelligence (AI) models and laboratory automation are beginning to reshape this landscape. Rather than functioning as isolated tools, polymer databases, predictive models, AI agents and automated laboratories are increasingly converging into interconnected discovery ecosystems. As a result, the central challenge is shifting from improving predictive accuracy alone to enabling reliable decision-making, adaptive learning and seamless integration across computation, experimentation and scientific reasoning. We argue that polymer science is entering an era of autonomous discovery, in which data, simulation, reasoning and experimentation operate within self-improving feedback loops that continuously generate hypotheses, design materials, execute experiments and refine predictive models. By unifying molecular design, process optimization, experimental validation and industrial translation, such autonomous ecosystems establish a more predictive, reproducible and scalable paradigm for polymer innovation, fundamentally transforming how polymer research is conducted.",2026-06-18T05:03:02Z,2026-08-17T02:23:37Z,https://arxiv.org/abs/2606.20753v2,https://arxiv.org/pdf/2606.20753v2,physics.chem-ph,physics.chem-ph | cs.AI,,,,,,process_optimization_control,2,11,simulation,manufacturing | process-optimization,optimization,agents | AI agents | manufacturing | process optimization,general_manufacturing_agents | process_optimization,2026-08-19T08:42:48Z,2026-08-23T08:35:59Z
2605.13221,v2,An Agentic AI Framework with Large Language Models and Chain-of-Thought for UAV-Assisted Logistics Scheduling with Mobile Edge Computing,Hanwen Zhang | Dusit Niyato | Wei Zhang | Xin Lou | Malcolm Yoke Hean Low,"In cloud manufacturing, unmanned aerial vehicles (UAVs) can support both product collection and mobile edge computing (MEC). This joint operation forms a hybrid scheduling problem, where physical logistics decisions are coupled with computational task scheduling. In this paper, UAVs collect finished products from manufacturing stations and transport them back to a central depot. Meanwhile, computational tasks generated by industrial sensor devices at these stations are processed locally, at UAVs, or offloaded via UAVs to the cloud. This coupling makes the problem challenging. A UAV can provide MEC services only during its service window at a station, so routing decisions directly determine when UAV-assisted offloading is available. Routing decisions also affect the UAV energy budget and the availability of onboard computing and communication resources for computational task execution under task deadline constraints. To address this, we propose an agentic-AI-assisted optimization framework with two components. First, we develop an agentic AI that combines large language models, retrieval-augmented generation, and chain-of-thought reasoning to translate user input into an interpretable mathematical formulation for the hybrid scheduling problem. Second, we design a hierarchical deep reinforcement learning approach based on proximal policy optimization (PPO), where the upper layer learns UAV routing and the lower layer optimizes per-slot task execution and resource allocation. Simulation results show that the proposed framework yields more consistent formulations, while the hierarchical PPO achieves full product collection in 99.6% of the last 500 episodes and maintains a 100% deadline satisfaction rate, with more stable performance than the advantage actor-critic approach.",2026-05-13T09:13:19Z,2026-08-15T06:44:34Z,https://arxiv.org/abs/2605.13221v2,https://arxiv.org/pdf/2605.13221v2,cs.AI,cs.AI | cs.LG,37 pages,,,,,knowledge_manufacturing_intelligence,4,14,agentic-AI | RAG | reinforcement-learning | simulation,manufacturing,optimization,agentic AI | large language models | manufacturing | reasoning,general_agentic_manufacturing | general_manufacturing_agents | knowledge_agents | manufacturing_reasoning,2026-08-19T08:42:48Z,2026-08-19T08:42:48Z
